number:
('中楼层&0~5年', 352)
('中楼层&15~30年', 128474)
('中楼层&30年以上', 43659)
('中楼层&5~15年', 54761)
('中楼层&未知', 4794)
('低楼层&0~5年', 185)
('低楼层&15~30年', 69020)
('低楼层&30年以上', 17849)
('低楼层&5~15年', 33609)
('低楼层&未知', 2673)
('地下室&0~5年', 88)
('地下室&15~30年', 1904)
('地下室&30年以上', 316)
('地下室&5~15年', 2416)
('地下室&未知', 1078)
('底层(&0~5年', 71)
('底层(&15~30年', 31333)
('底层(&30年以上', 12877)
('底层(&5~15年', 8305)
('底层(&未知', 921)
('未知(&15~30年', 1225)
('未知(&30年以上', 119)
('未知(&5~15年', 304)
('未知(&未知', 279)
('顶层(&0~5年', 69)
('顶层(&15~30年', 40144)
('顶层(&30年以上', 18867)
('顶层(&5~15年', 10318)
('顶层(&未知', 1137)
('高楼层&0~5年', 196)
('高楼层&15~30年', 75284)
('高楼层&30年以上', 19512)
('高楼层&5~15年', 34936)
('高楼层&未知', 2857)
Average area price:
('中楼层&0~5年', 28791.94318181818)
('中楼层&15~30年', 34086.061140775564)
('中楼层&30年以上', 44137.05749100987)
('中楼层&5~15年', 30665.892971275178)
('中楼层&未知', 29890.804338756778)
('低楼层&0~5年', 32331.827027027026)
('低楼层&15~30年', 34090.74316140249)
('低楼层&30年以上', 44372.18426802622)
('低楼层&5~15年', 30629.116992472256)
('低楼层&未知', 29602.478862701086)
('地下室&0~5年', 10011.579545454546)
('地下室&15~30年', 26560.79201680672)
('地下室&30年以上', 47791.70569620253)
('地下室&5~15年', 9941.153145695363)
('地下室&未知', 10036.49814471243)
('底层(&0~5年', 27578.478873239437)
('底层(&15~30年', 31346.66144320684)
('底层(&30年以上', 43815.88887163159)
('底层(&5~15年', 26439.175436484045)
('底层(&未知', 28541.098805646037)
('未知(&15~30年', 10720.966530612244)
('未知(&30年以上', 19469.453781512606)
('未知(&5~15年', 10532.973684210527)
('未知(&未知', 17946.74193548387)
('顶层(&0~5年', 37086.34782608696)
('顶层(&15~30年', 30474.905589876445)
('顶层(&30年以上', 41181.824614406105)
('顶层(&5~15年', 28191.402306648575)
('顶层(&未知', 27932.91556728232)
('高楼层&0~5年', 29513.632653061224)
('高楼层&15~30年', 33859.45406726529)
('高楼层&30年以上', 44011.81421689217)
('高楼层&5~15年', 31082.8776906343)
('高楼层&未知', 30244.08470423521)
Average transaction price:
('中楼层&0~5年', 368.95170454545456)
('中楼层&15~30年', 388.3469495773464)
('中楼层&30年以上', 333.48954396573447)
('中楼层&5~15年', 393.2467997297347)
('中楼层&未知', 308.8166458072591)
('低楼层&0~5年', 483.1297297297297)
('低楼层&15~30年', 397.84655172413795)
('低楼层&30年以上', 338.85831138999384)
('低楼层&5~15年', 389.9276384301824)
('低楼层&未知', 310.2899364010475)
('地下室&0~5年', 37.20454545454545)
('地下室&15~30年', 228.25420168067228)
('地下室&30年以上', 304.01582278481015)
('地下室&5~15年', 81.93046357615894)
('地下室&未知', 40.85064935064935)
('底层(&0~5年', 823.0140845070423)
('底层(&15~30年', 370.9671911403313)
('底层(&30年以上', 329.44132950221325)
('底层(&5~15年', 468.9689343768814)
('底层(&未知', 330.37459283387625)
