number:
('东&0~5年', 151)
('东&15~30年', 5507)
('东&30年以上', 569)
('东&5~15年', 2168)
('东&未知', 909)
('北&0~5年', 202)
('北&15~30年', 3282)
('北&30年以上', 183)
('北&5~15年', 1575)
('北&未知', 490)
('南&0~5年', 276)
('南&15~30年', 6943)
('南&30年以上', 993)
('南&5~15年', 2854)
('南&未知', 1396)
('暂&15~30年', 367)
('暂&30年以上', 44)
('暂&5~15年', 120)
('暂&未知', 19)
('西&0~5年', 50)
('西&15~30年', 2954)
('西&30年以上', 185)
('西&5~15年', 1106)
('西&未知', 390)
Average area price:
('东&0~5年', 23097.205298013247)
('东&15~30年', 27844.946250226985)
('东&30年以上', 29030.251318101935)
('东&5~15年', 30171.56549815498)
('东&未知', 25495.247524752474)
('北&0~5年', 22883.727722772277)
('北&15~30年', 27106.013406459475)
('北&30年以上', 28574.918032786885)
('北&5~15年', 27567.636825396825)
('北&未知', 21535.23469387755)
('南&0~5年', 21777.6884057971)
('南&15~30年', 26467.385712228144)
('南&30年以上', 28575.123867069487)
('南&5~15年', 28042.493342676946)
('南&未知', 23107.412607449856)
('暂&15~30年', 17701.776566757493)
('暂&30年以上', 21055.772727272728)
('暂&5~15年', 21930.383333333335)
('暂&未知', 18153.36842105263)
('西&0~5年', 22448.94)
('西&15~30年', 28359.39336492891)
('西&30年以上', 26843.902702702704)
('西&5~15年', 31809.732368896926)
('西&未知', 25008.64358974359)
Average transaction price:
('东&0~5年', 196.72185430463577)
('东&15~30年', 207.03595424005812)
('东&30年以上', 179.87873462214412)
('东&5~15年', 262.71448339483396)
('东&未知', 176.2838283828383)
('北&0~5年', 174.22277227722773)
('北&15~30年', 199.87751371115175)
('北&30年以上', 172.55191256830602)
('北&5~15年', 228.22984126984127)
('北&未知', 160.8673469387755)
('南&0~5年', 196.93478260869566)
('南&15~30年', 199.2184934466369)
('南&30年以上', 178.08559919436053)
('南&5~15年', 272.93587946741417)
('南&未知', 168.35386819484242)
('暂&15~30年', 134.22615803814713)
('暂&30年以上', 134.86363636363637)
('暂&5~15年', 234.575)
('暂&未知', 110.73684210526316)
('西&0~5年', 144.6)
('西&15~30年', 207.8645903859174)
('西&30年以上', 157.12972972972972)
('西&5~15年', 273.21790235081374)
('西&未知', 180.37692307692308)
Average transaction cycle:
('东&0~5年', 91.1456953642384)
('东&15~30年', 108.33648084256401)
('东&30年以上', 95.1195079086116)
('东&5~15年', 97.9511070110701)
('东&未知', 88.8008800880088)
('北&0~5年', 88.72772277227723)
('北&15~30年', 97.22486288848263)
('北&30年以上', 118.31693989071039)
('北&5~15年', 98.63619047619048)
('北&未知', 97.63673469387756)
('南&0~5年', 115.06521739130434)
('南&15~30年', 98.11839262566613)
('南&30年以上', 100.69284994964754)
('南&5~15年', 104.21128241065172)
('南&未知', 81.932664756447)
('暂&15~30年', 348.43051771117166)
('暂&30年以上', 202.5)
('暂&5~15年', 329.8333333333333)
('暂&未知', 231.94736842105263)
('西&0~5年', 104.72)
('西&15~30年', 107.73290453622207)
('西&30年以上', 98.25405405405405)
('西&5~15年', 105.50542495479205)
('西&未知', 83.51282051282051)
Average listing price / transaction price:
('东&0~5年', 0.9139072847682119)
('东&15~30年', 0.959324496095878)
('东&30年以上', 0.9666080843585237)
('东&5~15年', 0.9538745387453874)
('东&未知', 0.9526952695269527)
('北&0~5年', 0.9702970297029703)
('北&15~30年', 0.9497257769652651)
('北&30年以上', 0.9562841530054644)
('北&5~15年', 0.9498412698412698)
('北&未知', 0.9408163265306122)
('南&0~5年', 0.9347826086956522)
('南&15~30年', 0.9531902635748236)
('南&30年以上', 0.9526686807653575)
('南&5~15年', 0.9586545199719692)
('南&未知', 0.9584527220630372)
('暂&15~30年', 0.9155313351498637)
('暂&30年以上', 0.9318181818181818)
('暂&5~15年', 0.8916666666666667)
('暂&未知', 0.7894736842105263)
('西&0~5年', 0.94)
('西&15~30年', 0.9509140148950576)
('西&30年以上', 0.9459459459459459)
('西&5~15年', 0.9511754068716094)
('西&未知', 0.9641025641025641)
Average views:
('东&0~5年', 11.211920529801324)
('东&15~30年', 7.969130197929907)
('东&30年以上', 5.984182776801406)
('东&5~15年', 8.976937269372694)
('东&未知', 8.664466446644665)
('北&0~5年', 16.301980198019802)
('北&15~30年', 6.497257769652651)
('北&30年以上', 5.5136612021857925)
('北&5~15年', 10.216507936507936)
('北&未知', 10.348979591836734)
('南&0~5年', 15.804347826086957)
('南&15~30年', 6.510586201930002)
('南&30年以上', 6.032225579053374)
('南&5~15年', 9.038892782060266)
('南&未知', 7.396848137535817)
('暂&15~30年', 0.0)
('暂&30年以上', 0.0)
('暂&5~15年', 0.0)
('暂&未知', 0.0)
('西&0~5年', 13.92)
('西&15~30年', 7.409275558564658)
('西&30年以上', 4.827027027027027)
('西&5~15年', 9.179927667269439)
('西&未知', 8.097435897435897)
Average price adjustment:
('东&0~5年', 11.211920529801324)
('东&15~30年', 7.969130197929907)
('东&30年以上', 5.984182776801406)
('东&5~15年', 8.976937269372694)
('东&未知', 8.664466446644665)
('北&0~5年', 16.301980198019802)
('北&15~30年', 6.497257769652651)
('北&30年以上', 5.5136612021857925)
('北&5~15年', 10.216507936507936)
('北&未知', 10.348979591836734)
('南&0~5年', 15.804347826086957)
('南&15~30年', 6.510586201930002)
('南&30年以上', 6.032225579053374)
('南&5~15年', 9.038892782060266)
('南&未知', 7.396848137535817)
('暂&15~30年', 0.0)
('暂&30年以上', 0.0)
('暂&5~15年', 0.0)
('暂&未知', 0.0)
('西&0~5年', 13.92)
('西&15~30年', 7.409275558564658)
('西&30年以上', 4.827027027027027)
('西&5~15年', 9.179927667269439)
('西&未知', 8.097435897435897)
Average followers:
('东&0~5年', 11.211920529801324)
('东&15~30年', 7.969130197929907)
('东&30年以上', 5.984182776801406)
('东&5~15年', 8.976937269372694)
('东&未知', 8.664466446644665)
('北&0~5年', 16.301980198019802)
('北&15~30年', 6.497257769652651)
('北&30年以上', 5.5136612021857925)
('北&5~15年', 10.216507936507936)
('北&未知', 10.348979591836734)
('南&0~5年', 15.804347826086957)
('南&15~30年', 6.510586201930002)
('南&30年以上', 6.032225579053374)
('南&5~15年', 9.038892782060266)
('南&未知', 7.396848137535817)
('暂&15~30年', 0.0)
('暂&30年以上', 0.0)
('暂&5~15年', 0.0)
('暂&未知', 0.0)
('西&0~5年', 13.92)
('西&15~30年', 7.409275558564658)
('西&30年以上', 4.827027027027027)
('西&5~15年', 9.179927667269439)
('西&未知', 8.097435897435897)
Average pageviews:
('东&0~5年', 11.211920529801324)
('东&15~30年', 7.969130197929907)
('东&30年以上', 5.984182776801406)
('东&5~15年', 8.976937269372694)
('东&未知', 8.664466446644665)
('北&0~5年', 16.301980198019802)
('北&15~30年', 6.497257769652651)
('北&30年以上', 5.5136612021857925)
('北&5~15年', 10.216507936507936)
('北&未知', 10.348979591836734)
('南&0~5年', 15.804347826086957)
('南&15~30年', 6.510586201930002)
('南&30年以上', 6.032225579053374)
('南&5~15年', 9.038892782060266)
('南&未知', 7.396848137535817)
('暂&15~30年', 0.0)
('暂&30年以上', 0.0)
('暂&5~15年', 0.0)
('暂&未知', 0.0)
('西&0~5年', 13.92)
('西&15~30年', 7.409275558564658)
('西&30年以上', 4.827027027027027)
('西&5~15年', 9.179927667269439)
('西&未知', 8.097435897435897)
